                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 0.5665,                0.55335,                 1.0493,                0.98602,                0.95341,                0.99273,                0.91004,                0.43624,                0.48676,                0.96908,              0.0092179,              0.0092179,              0.0092179
                     81,                0.50271,                0.57522,                  1.029,                0.97548,                0.95275,                  0.995,                0.90914,                0.45907,                0.42636,                0.97048,               0.009208,               0.009208,               0.009208
                     82,                0.55233,                0.60137,                 1.0391,                0.98591,                      1,                  0.995,                0.91463,                0.42567,                0.43845,                0.94709,              0.0091981,              0.0091981,              0.0091981
                     83,                0.53046,                0.54419,                0.98285,                0.95929,                0.95582,                0.98591,                0.89423,                0.41335,                0.50391,                0.97183,              0.0091882,              0.0091882,              0.0091882
                     84,                0.53055,                0.53067,                 1.0094,                0.99398,                      1,                  0.995,                 0.9046,                0.41331,                0.35382,                0.95311,              0.0091783,              0.0091783,              0.0091783
                     85,                0.56462,                0.58672,                 1.0595,                0.99091,                      1,                  0.995,                0.93074,                0.38027,                0.36048,                0.92097,              0.0091684,              0.0091684,              0.0091684
                     86,                0.55026,                0.55112,                  1.013,                0.99113,                      1,                  0.995,                0.91067,                0.37586,                0.32749,                0.92214,              0.0091585,              0.0091585,              0.0091585
                     87,                0.55344,                0.53007,                 1.0218,                0.98561,                      1,                  0.995,                0.91826,                0.38708,                0.33346,                0.93015,              0.0091486,              0.0091486,              0.0091486
                     88,                0.57247,                0.51518,                 1.0223,                0.96815,                      1,                  0.995,                 0.9219,                0.41344,                0.32338,                0.94255,              0.0091387,              0.0091387,              0.0091387
                     89,                0.53586,                0.54618,                 1.0105,                0.99354,                      1,                  0.995,                0.93277,                0.38011,                0.30739,                0.92544,              0.0091288,              0.0091288,              0.0091288
                     90,                0.51201,                0.51214,                 1.0064,                0.98619,                      1,                  0.995,                0.91775,                  0.395,                0.33309,                0.94876,              0.0091189,              0.0091189,              0.0091189
                     91,                0.54247,                0.53047,                 1.0197,                0.84196,                0.87944,                0.92243,                0.85173,                0.43219,                0.66985,                0.98375,               0.009109,               0.009109,               0.009109
                     92,                0.50446,                0.50118,                  1.007,                0.65025,                0.66811,                0.70488,                0.59247,                0.48602,                 2.0046,                 1.0054,              0.0090991,              0.0090991,              0.0090991
                     93,                0.54583,                0.52895,                 1.0159,                 0.9457,                0.97874,                0.99273,                0.90099,                0.44649,                 0.3882,                0.97165,              0.0090892,              0.0090892,              0.0090892
                     94,                 0.5376,                0.54437,                  1.031,                0.95229,                      1,                0.98818,                0.91194,                0.43391,                0.38183,                0.96335,              0.0090793,              0.0090793,              0.0090793
                     95,                0.50271,                0.50083,                 1.0172,                0.95324,                0.95735,                  0.995,                0.93635,                0.34386,                0.40894,                0.91481,              0.0090694,              0.0090694,              0.0090694
                     96,                0.51666,                0.48046,                0.98857,                0.97989,                0.97932,                  0.995,                0.94461,                0.35174,                0.32682,                0.91277,              0.0090595,              0.0090595,              0.0090595
                     97,                0.49857,                0.54097,                 1.0004,                0.95371,                0.98081,                  0.995,                0.92987,                0.38994,                0.35681,                0.92738,              0.0090496,              0.0090496,              0.0090496
